id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h,labels
0,306253,569,395,834,515,1096.484375,732.265625,1.0581883192062378,0.990771234035492,0,0,2005,1339,0
0,307724,572,381,836,520,971.171875,648.578125,1.054067850112915,0.9920411705970764,0,0,2005,1339,0
0,308470,577,369,837,523,908.515625,606.734375,1.0539284944534302,0.9924479126930236,0,0,2005,1339,0
1,309433,580,357,839,526,783.203125,523.046875,1.0391420125961304,0.9904784560203552,0,0,2005,1339,0
0,310571,586,345,836,533,783.203125,355.671875,1.046142339706421,0.9909959435462952,0,0,2005,1339,0
1,310841,593,336,829,535,720.546875,481.203125,1.03289532661438,0.9911566376686096,0,0,2005,1339,0
1,310579,600,326,824,546,720.546875,481.203125,1.0365227460861206,0.9907172322273254,0,0,2005,1339,0
0,311416,608,316,816,559,845.859375,523.046875,1.0483815670013428,0.991881787776947,0,0,2005,1339,0
1,311147,617,307,803,571,845.859375,313.828125,1.040725588798523,0.9908139109611512,0,0,2005,1339,0
0,310826,622,299,797,583,908.515625,481.203125,1.047003149986267,0.9906805157661438,0,0,2005,1339,0
0,311142,628,292,784,599,1096.484375,523.046875,1.0392991304397583,0.9916017055511476,0,0,2005,1339,0
0,310668,632,286,778,617,908.515625,397.515625,1.0497173070907593,0.9911545515060424,0,0,2005,1339,0
0,310032,636,279,770,636,971.171875,397.515625,1.0456398725509644,0.9896352887153624,0,0,2005,1339,0
0,309196,643,275,758,650,908.515625,313.828125,1.0580923557281494,0.990508496761322,0,0,2005,1339,0
0,308470,648,271,747,665,971.171875,481.203125,1.058258295059204,0.9910269975662231,0,0,2005,1339,0
0,308374,655,266,736,679,971.171875,355.671875,1.049506664276123,0.991449773311615,0,0,2005,1339,0
0,307624,664,264,723,690,971.171875,523.046875,1.0610798597335815,0.9919189810752868,0,0,2005,1339,0
0,324340,571,479,805,587,971.171875,648.578125,1.0581414699554443,0.9910699725151062,0,0,2005,1339,0
1,321722,569,469,812,575,971.171875,648.578125,1.0250396728515625,0.9920371174812316,0,0,2005,1339,0
0,319628,569,461,816,565,1284.453125,564.890625,1.054959058761597,0.9914697408676147,0,0,2005,1339,0
1,316968,572,456,814,555,971.171875,648.578125,1.0499310493469238,0.9908325672149658,0,0,2005,1339,0
1,314975,575,447,812,545,1096.484375,648.578125,1.0402897596359253,0.9914474487304688,0,0,2005,1339,0
1,311937,578,441,809,535,720.546875,564.890625,1.037036657333374,0.990453600883484,0,0,2005,1339,0
1,309875,583,428,801,527,720.546875,481.203125,1.0433541536331177,0.9879127144813538,0,0,2005,1339,0
1,307283,588,416,795,523,720.546875,523.046875,1.0492979288101196,0.9913678169250488,0,0,2005,1339,0
1,304451,587,404,792,516,783.203125,481.203125,1.0348303318023682,0.9908520579338074,0,0,2005,1339,0
1,300616,584,393,788,516,657.890625,899.640625,1.0306323766708374,0.9914081692695618,0,0,2005,1339,0
1,299138,581,382,785,540,1221.796875,606.734375,1.0371192693710327,0.9918363690376282,0,0,2005,1339,0
1,296927,577,373,783,560,1221.796875,606.734375,1.0348522663116455,0.9919686913490297,0,0,2005,1339,0
0,294459,575,363,775,581,783.203125,481.203125,1.0603699684143066,0.9914911389350892,0,0,2005,1339,0
0,291769,574,354,767,600,783.203125,481.203125,1.049967885017395,0.9917911887168884,0,0,2005,1339,0
1,289646,574,346,757,615,845.859375,439.359375,1.0429695844650269,0.9912826418876648,0,0,2005,1339,0
0,287823,576,337,747,635,1221.796875,606.734375,1.0510293245315552,0.992264986038208,0,0,2005,1339,0
1,286565,577,330,745,649,1221.796875,606.734375,1.063048005104065,0.9920920133590698,0,0,2005,1339,0
0,284870,581,323,738,660,908.515625,397.515625,1.0530277490615845,0.9908785820007324,0,0,2005,1339,0
1,284313,584,316,732,674,908.515625,397.515625,1.041542410850525,0.9903978705406188,0,0,2005,1339,0
1,284593,587,311,724,685,1096.484375,690.421875,1.0402346849441528,0.99102121591568,0,0,2005,1339,0
0,285150,591,305,717,696,1033.828125,774.109375,1.0457987785339355,0.9900717735290528,0,0,2005,1339,0
1,285269,592,301,710,707,908.515625,774.109375,1.0433597564697266,0.992031991481781,0,0,2005,1339,0
0,285745,597,296,700,716,908.515625,774.109375,1.049425482749939,0.991948127746582,0,0,2005,1339,0
1,286072,602,293,688,723,908.515625,606.734375,1.024735927581787,0.9930362105369568,0,0,2005,1339,0
1,286452,608,290,676,730,908.515625,857.796875,1.0302441120147705,0.9912238121032716,0,0,2005,1339,0
1,285409,617,288,657,736,971.171875,355.671875,1.0576993227005005,0.9831883907318116,0,0,2005,1339,0
1,288473,624,287,644,740,971.171875,774.109375,1.0293185710906982,0.9911859631538392,0,0,2005,1339,0
1,290421,632,286,629,743,971.171875,774.109375,1.0446749925613403,0.9915890693664552,0,0,2005,1339,0
1,292176,643,287,610,744,720.546875,648.578125,1.030606389045715,0.9909842610359192,0,0,2005,1339,0
1,294017,654,287,591,746,720.546875,606.734375,1.0276720523834229,0.990517258644104,0,0,2005,1339,0
